event,rate,apt_reserve,usdc_reserve,version
swap,4.914758462524289,51123639059527,2515118495524,27504120
swap,4.916571626247337,51114216059530,2515582626388,27504200
swap,4.918368083890366,51104885019450,2516042396502,27504204
swap,4.91923492789778,51100384344483,2516264219183,27504218
swap,4.916550775202283,51114338347078,2515577976219,27504459
swap,4.924355482355403,51073836483333,2517574841758,27504471
swap,4.923873676751994,51076336483333,2517451738891,27504499
swap,4.9262785042947606,51063874405069,2518066735012,27504511
swap,4.925314399496843,51068874405069,2517820445179,27504657
swap,4.9237724204786755,51076874405069,2517426481681,27504736
swap,4.926010682444126,51065274833097,2517998892190,27504783
swap,4.931054232640491,51039166079437,2519288247512,27504788
swap,4.929153094432331,51049012769979,2518802795424,27504827
swap,4.926852542852884,51060935790067,2518215228606,27504868
swap,4.923960574046988,51075935790067,2517476417546,27504869
swap,4.922083492387565,51085678871425,2516996763468,27504908
swap,4.922102830652189,51085578567228,2517001710423,27504911
swap,4.92056236084191,51093578567228,2516608003790,27504951
swap,4.920581628870448,51093478580978,2516612933540,27504995
swap,4.918664284048992,51103440967884,2516122821629,27505030
swap,4.917510074559267,51109440967884,2515827736383,27505064
swap,4.91558729480867,51119440967884,2515336081476,27505251
swap,4.913671973186864,51129408015603,2514846237957,27505255
swap,4.911049964764819,51143062010751,2514175504363,27505308
swap,4.911069206454327,51142961870888,2514180432142,27505369
swap,4.908086396274801,51158507937736,2513417185815,27505416
swap,4.906149557583253,51168610112764,2512921460129,27505433
swap,4.906168652533086,51168510587627,2512926352771,27505466
swap,4.904252521270381,51178510587627,2512435831674,27505494
swap,4.904539234446882,51177015398502,2512509308547,27505508
swap,4.902860097318197,51185782613256,2512079390636,27505520
swap,4.903250252675005,51183747145604,2512179390636,27505536
swap,4.901038470208744,51195300938888,2511613006961,27505554
swap,4.901126704433295,51194840336809,2511635626666,27505565
swap,4.90116162514017,51194658046466,2511644578874,27505650
swap,4.9012702576542795,51194090983964,2511672427501,27505789
swap,4.8991387637106225,51205231983964,2511126495670,27505972
swap,4.896647827085518,51218260955378,2510488350493,27505998
swap,4.896707811074975,51217947403064,2510503734893,27506018
swap,4.896726952241931,51217847348291,2510508644106,27506050
swap,4.896746080700339,51217747360534,2510513550050,27506053
swap,4.896765196465694,51217647439711,2510518452729,27506076
swap,4.8946901585143054,51228508235553,2509986737697,27506204
swap,4.893402530052264,51235251186104,2509656734554,27506230
swap,4.89053996389348,51250251186104,2508922938791,27506302
swap,4.890787810117584,51248953236932,2508986544269,27506320
swap,4.890806989355498,51248852801040,2508991466224,27506370
swap,4.887946700548312,51263852801040,2508258059622,27506380
swap,4.888336261745772,51261811123187,2508358059622,27506389
swap,4.890695281168152,51249452787594,2508963532640,27506394
swap,4.893349635061738,51235557950168,2509644632609,27506409
swap,4.896190229873106,51220700706782,2510373316995,27506431
swap,4.896553552389742,51218801343321,2510466503171,27506592
swap,4.899001541056592,51206009349255,2511094281415,27506610
swap,4.898225123147516,51210069552099,2510895387770,27506625
swap,4.897726775660038,51212676121206,2510767718639,27506635
swap,4.89858817978675,51208175367009,2510988614227,27506650
swap,4.899928368779849,51201175367009,2511332249206,27506658
swap,4.8989719920119885,51206175367009,2511087276687,27506751
swap,4.900698077030701,51197161367014,2511529832440,27506769
swap,4.902452630820432,51188003575355,2511979607552,27506780
swap,4.905328537177249,51173003575355,2512716664377,27506812
swap,4.9074710049974,51161837575362,2513265610245,27506873
swap,4.911849388639012,51139041267653,2514387072934,27506885
swap,4.912714458529041,51134540836851,2514608589584,27506890
swap,4.913580096724646,51130038639025,2514830232247,27506940
swap,4.919962186658066,51096881960446,2516463734750,27506953
swap,4.9208298876373116,51092379001425,2516685741949,27506985
swap,4.91874920261144,51103189583369,2516153884025,27507016
swap,4.917626838047241,51109023884108,2515866942131,27507035
swap,4.9196925357906505,51098298206590,2516395558344,27507062
swap,4.922320683897623,51084661889166,2517067946416,27507080
swap,4.924056421200539,51075661889166,2517511920845,27507103
swap,4.924021452028262,51075843342885,2517502985994,27507157
swap,4.92570200091006,51067133940810,2517932771101,27507391
swap,4.928212055665587,51054133940810,2518574558345,27507402
swap,4.930862823385419,51040415940823,2519252146674,27507444
swap,4.933570288075049,51026415940823,2519944039966,27507473
swap,4.931481065455052,51037228876771,2519410689080,27507529
swap,4.926165404163727,51064771512071,2518053161104,27507539
swap,4.923952142788781,51076252484822,2517487716399,27507550
swap,4.920670168158393,51093291512070,2516649002367,27507567
swap,4.918551363810982,51104300768014,2516107389781,27507578
swap,4.915150202652971,51121988003684,2515237734698,27507587
swap,4.913285671393701,51131692017291,2514760858285,27507621
swap,4.9100857939867195,51148358766110,2513942239872,27507640
swap,4.912199465573845,51137358766110,2514483547565,27507819
swap,4.911239497392596,51142358766110,2514237961581,27507921
swap,4.909320405138816,51152358766110,2513746933548,27508011
swap,4.905882547864629,51170287412542,2512867066931,27508049
swap,4.905299708461513,51173328826399,2512717867599,27508110
swap,4.900665445956928,51197530968949,2511531240619,27508115
swap,4.899517573114704,51203530968949,2511237235114,27508183
swap,4.898561320513024,51208530968949,2510992283131,27508358
swap,4.900533801676818,51198229284604,2511498029982,27508402
swap,4.9024441002000625,51188258287727,2511987736158,27508407
swap,4.905128182740628,51174258287727,2512675641221,27508443
swap,4.9032126729432965,51184258287727,2512185224140,27508601
swap,4.9010486637140875,51195562642602,2511631069846,27508872
swap,4.899135426202222,51205563254516,2511141030619,27508881
swap,4.8964589392236375,51219563254516,2510455338946,27508921
swap,4.89714557995479,51215974114907,2510631444043,27509033
swap,4.895998944549583,51221974114907,2510337649693,27509267
swap,4.894852711880315,51227974114907,2510043924129,27509356
swap,4.893897825502409,51232974114907,2509799205355,27509574
swap,4.884707033703268,51281174114907,2507442561518,27509694
swap,4.884926144869907,51280024580332,2507498826647,27509716
swap,4.8869630969736635,51269341709340,2508021831228,27509739
swap,4.887821971251414,51264839312707,2508242321775,27509763
swap,4.891443246606147,51245868876923,2509171764109,27509777
swap,4.891470242922962,51245727532963,2509178691736,27509834
swap,4.889562729935312,51255727532963,2508689640049,27510018
swap,4.887846922262946,51264727532963,2508249656583,27510022
swap,4.886599299069088,51271274721593,2507929680850,27510101
swap,4.885742062328822,51275774721593,2507709803161,27510134
swap,4.882886235197916,51290774721593,2506977155963,27510151
swap,4.880413210304647,51303774721593,2506342541439,27510238
swap,4.880460354169539,51303527054984,2506354652862,27510239
swap,4.880498502557978,51303326648034,2506364453273,27510325
swap,4.878217318017664,51315326648034,2505778930272,27510338
swap,4.87830492066175,51314866126423,2505801440717,27510354
swap,4.87545561200121,51329866126423,2505069908602,27510457
swap,4.87557590933929,51329233196538,2505100829008,27510556
swap,4.877683142898003,51318150038662,2505642396079,27510756
swap,4.879977969497534,51306088386020,2506232042291,27510765
swap,4.880834546854874,51301588379137,2506452100795,27510775
swap,4.882971753917013,51290365779474,2507001074567,27510915
swap,4.885067931920349,51279365779474,2507539392778,27510922
swap,4.882745784760735,51291564206979,2506943632887,27511044
swap,4.879746504540782,51307332555602,2506173940896,27511056
swap,4.878891071484724,51311832555602,2505954371542,27511070
swap,4.877245281403184,51320493553684,2505531882122,27511089
swap,4.874396903883559,51335493553684,2504800508883,27511126
swap,4.8715510212887105,51350493553684,2504069562714,27511218
swap,4.875242820011373,51331056904163,2505018684841,27511260
swap,4.878082648792289,51316120736260,2505748530199,27511432
swap,4.882673627344719,51292001902391,2506927977803,27511460
swap,4.883531140879055,51287500700934,2507148216325,27511473
swap,4.885627676168933,51276500700934,2507686596212,27511538
swap,4.883345896739505,51288484955785,2507101226815,27511681
swap,4.881709752649265,51297083408063,2506681404961,27511684
swap,4.878244524943577,51315308552865,2505792021960,27511713
swap,4.87729449787338,51320308552865,2505548133474,27511827
swap,4.87643971081475,51324808552865,2505328674446,27512120
swap,4.87558514848616,51329308552865,2505109253878,27512167
swap,4.874518835855362,51334925258615,2504835436540,27512196
swap,4.874044331817367,51337425258615,2504713579498,27512571
swap,4.874067671554953,51337302403933,2504719579498,27513177
swap,4.874071559392689,51337281939390,2504720578952,27513258
swap,4.871644033784179,51350077350913,2504097076686,27513297
swap,4.871663093419963,51349976951408,2504101977599,27513521
swap,4.872082916329153,51347765620300,2504209926630,27513967
swap,4.8655583045898005,51382199442009,2502533405437,27514027
swap,4.865577311520682,51382099132195,2502538295855,27514125
swap,4.860707812581473,51407843076046,2501286331008,27514141
swap,4.860807430656676,51407316557063,2501311975082,27514155
swap,4.860914721530447,51406749502555,2501339594024,27514269
swap,4.859213976621397,51415749502555,2500902188201,27514382
swap,4.861494951078131,51403692191922,2501489389968,27514416
swap,4.862346737189344,51399191796465,2501708633891,27514434
swap,4.865187391439811,51384191796465,2502439660135,27514466
swap,4.862349576601897,51399191796465,2501710094787,27514658
swap,4.861498716432001,51403691796465,2501491308192,27514666
swap,4.859986627547719,51411691796465,2501102448753,27514831
swap,4.857153361919191,51426691796465,2500373663179,27514906
swap,4.857200149420264,51426444233213,2500385711849,27515030
swap,4.856256264605659,51431444233213,2500142875428,27515049
swap,4.857825692521792,51423139685661,2500547038590,27515081
swap,4.859145369386527,51416159796691,2500886834712,27515088
swap,4.86198321610499,51401159796691,2501617379578,27515130
swap,4.862835586256813,51396656989916,2501836763015,27515252
swap,4.865487183512393,51382656989916,2502519109502,27515275
swap,4.865498626613656,51382596597015,2502522053800,27515392
swap,4.867704709299275,51370957599728,2503089611906,27515561
swap,4.868870419991541,51364810660177,2503389461980,27515570
swap,4.869818932937464,51359810660177,2503633416867,27515634
swap,4.8719066370864095,51348810660177,2504170284903,27516085
swap,4.87276120649247,51344310019340,2504390010374,27516115
swap,4.875046139650347,51332282093713,2504977414018,27516241
swap,4.876834966405511,51322871579406,2505437184132,27516245
swap,4.879688323561265,51307871579406,2506170388917,27516267
swap,4.876438947132922,51324971579406,2505336239943,27516382
swap,4.8739708325143445,51337971579406,2504702463248,27516439
swap,4.873116921809437,51342471579406,2504483153765,27516467
swap,4.8722632355277815,51346971579406,2504263882703,27516517
swap,4.8694192342674105,51361971579406,2503533256443,27516529
swap,4.866577722813128,51376971579406,2502803056596,27516630
swap,4.8644378122566385,51388276588552,2502253010451,27516682
swap,4.861600660083339,51403276588552,2501523557491,27516713
swap,4.858765989724584,51418276588552,2500794529917,27516788
swap,4.8559337982883815,51433276588552,2500065927358,27516858
swap,4.854262283885917,51442135511043,2499635817956,27517015
swap,4.851434029458555,51457135511043,2498907890658,27517046
swap,4.851848684505941,51454937715454,2499014733394,27517058
swap,4.854160785738672,51442688050374,2499610400872,27517123
swap,4.852463590109767,51451688050374,2499173602744,27517171
swap,4.8508028104601815,51460499514149,2498746102812,27517208
swap,4.850829483888463,51460358100894,2498752976249,27517228
swap,4.847279547736343,51479207737964,2497838946966,27517239
swap,4.847358654221731,51478787888834,2497859339157,27517256
swap,4.846959593440529,51480908085907,2497756569830,27517267
swap,4.846492583092493,51483389629427,2497636296211,27517272
swap,4.842473511748892,51504760524721,2496600986686,27517292
swap,4.84263278096224,51503913972140,2496642063557,27517308
swap,4.839087198564063,51522788323908,2495728382508,27517316
swap,4.839113832555408,51522646606544,2495735254090,27517332
swap,4.837088750221686,51533436037768,2495213250436,27517347
swap,4.837147666322535,51533122357089,2495228453933,27517355
swap,4.83640440319687,51537084014873,2495036837412,27517375
swap,4.836737180666831,51535311942559,2495122716615,27517382
swap,4.835442388259914,51542214769354,2494788889695,27517410
swap,4.833472274747819,51552723204607,2494280863836,27517436
swap,4.833588652694154,51552102895835,2494310906705,27517454
swap,4.833667431525741,51551683007684,2494331243189,27517457
swap,4.830087487346367,51570793455417,2493407849665,27517480
swap,4.830419615246108,51569021370699,2493493617298,27517500
swap,4.830453774612247,51568839122089,2493502438335,27517639
swap,4.830594956778562,51568085901048,2493538895739,27517730
swap,4.830602613006844,51568045055245,2493540872788,27517984
swap,4.830153232348229,51570445055245,2493424943716,27518000
swap,4.82961405833891,51573325055245,2493285843064,27518035
swap,4.828940217791523,51576925055245,2493111989082,27518069
swap,4.828455139933326,51579517055245,2492986829236,27518119
swap,4.828509278394725,51579228037823,2493000812343,27518153
swap,4.828543428631821,51579045729758,2493009632768,27518254
swap,4.828515358464879,51579195729758,2493002389974,27518257
swap,4.828621572047246,51578628725217,2493029823015,27518361
swap,4.828760355201786,51577887881313,2493065667731,27518452
add_liquidity,4.828760355201806,51578037724578,2493072910546,27518814
swap,4.828131601590131,51581397724578,2492910674757,27519161
swap,4.827502970795973,51584757724578,2492748460092,27519194
swap,4.827727545445541,51583558509382,2492806469548,27519564
swap,4.82585721632278,51593558509382,2492323790273,27520156
swap,4.82460096581164,51600278509382,2491999534860,27520244
swap,4.8246548943309975,51599990266762,2492013469349,27520342
swap,4.824187656617124,51602490266762,2491892858815,27520781
swap,4.823720486784682,51604990266762,2491772259961,27520837
swap,4.822769241959952,51610081855509,2491526680158,27520935
swap,4.821917550986687,51614641855509,2491306781291,27521163
swap,4.82115570295124,51618721855509,2491110062590,27521206
swap,4.820394035486618,51622801855509,2490913374969,27521241
swap,4.820420441607425,51622660531956,2490920200985,27521274
swap,4.819703737122799,51626500531956,2490735110595,27521505
swap,4.811931708546572,51668197028877,2488727083150,27521798
swap,4.812057257906107,51667523335075,2488759566192,27521965
swap,4.804295956973431,51709261593746,2486752716846,27522056
swap,4.804361810832694,51708907377852,2486769768629,27522075
swap,4.804361773687999,51708907577852,2486769759021,27522264
swap,4.80438337410366,51708791394742,2486775352071,27522466
swap,4.804569122732246,51707792332714,2486823447912,27522492
swap,4.802712236330385,51717792332714,2486343083807,27522789
swap,4.804576207060037,51707764228369,2486825763082,27522794
swap,4.804130455223959,51710164228369,2486710458600,27523241
swap,4.80413817905088,51710122680780,2486712458600,27523244
swap,4.8022815428518335,51720122680780,2486232137577,27523334
swap,4.801817552017858,51722622680780,2486112086336,27524488
swap,4.801353628437359,51725122680780,2485992046694,27524529
swap,4.800889772096722,51727622680780,2485872018649,27524600
swap,4.801074857617593,51726626098017,2485919960246,27524838
swap,4.800593974544497,51729218098017,2485795522615,27525122
swap,4.799881687987252,51733058098017,2485611193476,27525164
swap,4.798724560440476,51739298098017,2485311716946,27525516
swap,4.797345455233654,51746738098017,2484954743120,27525566
swap,4.797455273466026,51746146125322,2484983199304,27525857
swap,4.796476880759722,51751426125322,2484729919484,27526320
swap,4.7956766002793225,51755746125322,2484522728961,27526358
swap,4.794520993181424,51761986125322,2484223514781,27526391
swap,4.7937212022153375,51766306125322,2484016408742,27526426
swap,4.793010444936383,51770146125322,2483832343489,27526465
swap,4.794863432291781,51760146809046,2484312664512,27526601
swap,4.787069858084134,51802284716024,2482293851291,27526755
swap,4.787127953827321,51801970540605,2482308921304,27526844
swap,4.787146523116209,51801870121130,2482313738151,27526874
swap,4.779422865368289,51843730664121,2480311429050,27526884
swap,4.7795003896456985,51843310415857,2480331554886,27526894
swap,4.7796846722056365,51842311486906,2480379395252,27527134
swap,4.782349571540707,51827872486924,2481071108926,27527203
swap,4.784429246051104,51816612741866,2481610785120,27527209
swap,4.7868009747955576,51803780716212,2482226106411,27527252
swap,4.788974461660338,51792029630787,2482789862056,27527277
swap,4.790825232770245,51782029630793,2483269811404,27527300
swap,4.791661405167611,51777513563182,2483486620583,27527337
swap,4.799365314482411,51735961193150,2485483259878,27527342
swap,4.802814616379138,51717389193163,2486376704083,27527361
swap,4.803651468878282,51712886362139,2486593418753,27527497
swap,4.8065757958459745,51697160743320,2487350565994,27527510
swap,4.808635782081033,51686091743336,2487883785715,27527525
swap,4.812131686214328,51667323337919,2488788426189,27527539
swap,4.812971228386388,51662819146204,2489005626907,27527552
swap,4.815816917444663,51647560622864,2489741703627,27527566
swap,4.819908719088584,51625644155101,2490799723641,27527610
swap,4.822801959156732,51610164245005,2491547559892,27527700
swap,4.822547840488395,51611524676741,2491481950692,27527731
swap,4.8185351172874835,51633021173072,2490445703044,27527797
swap,4.816211518061401,51645481173072,2489845458274,27527809
swap,4.8196110126350415,51627273096744,2490724464158,27527836
swap,4.819505378209231,51627839162683,2490697182281,27527852
swap,4.822602411694645,51611267316402,2491497720027,27527909
swap,4.830323944393451,51570019751607,2493492504695,27527930
swap,4.830282373849031,51570241773996,2493481780341,27528021
swap,4.8321756083663,51560143290632,2493970638367,27528051
swap,4.829941174089499,51572074290632,2493394244740,27528125
swap,4.827847296676835,51583262290466,2492853988016,27528131
swap,4.8247467891042595,51599842290466,2492053787880,27528134
swap,4.822636695472569,51611135184768,2491509053424,27528153
swap,4.8218616098655,51615285184768,2491308930077,27528161
swap,4.8166342198243095,51643300079304,2489958822689,27528201
swap,4.818810127213183,51631644969850,2490521458112,27528239
swap,4.820678215356371,51621644969870,2491004397869,27528311
swap,4.822547389822262,51611644969877,2491487524864,27528472
swap,4.824797254055422,51599616003045,2492068924943,27528521
swap,4.8325280480558055,51558347107218,2494065650721,27528659
swap,4.832295500967993,51559588297562,2494005671292,27528677
swap,4.830223132246755,51570653259057,2493471094264,27528720
swap,4.828673234095509,51578933259057,2493071215928,27528728
swap,4.826424361952115,51590954470648,2492490886021,27528755
swap,4.824874422796127,51599244470648,2492090839660,27528758
swap,4.8249124593887665,51599041183904,2492100667675,27529003
swap,4.824762925203769,51599841183904,2492062068974,27529061
swap,4.822436556755727,51612291924363,2491461495035,27529086
swap,4.820886671435846,51620591924363,2491061297095,27529087
swap,4.81554748726175,51649215183903,2489682166145,27529100
swap,4.814708895629749,51653715183903,2489465485368,27529137
swap,4.812846142830519,51663715183903,2488984107579,27529156
swap,4.812071556117165,51667875183903,2488783909284,27529167
swap,4.8089299852205505,51684757627489,2487971779116,27529193
swap,4.80738288913954,51693077627489,2487571740474,27529197
swap,4.80523401388705,51704640552576,2487015990581,27529228
swap,4.804461264339508,51708800552576,2486816108912,27529254
swap,4.802132750026882,51721341887994,2486213711268,27529285
swap,4.801297660499496,51725841887994,2485997634076,27529288
swap,4.799752391786024,51734171887994,2485597750315,27529294
swap,4.797632865758115,51745604053217,2485049155798,27529364
swap,4.795235108517527,51758546062082,2484428400828,27529380
swap,4.7944018178114,51763046062082,2484212633989,27529409
swap,4.7924321450758045,51773687504897,2483702545221,27529426
swap,4.791660632015283,51777857504897,2483502716880,27529427
swap,4.791660447023679,51777858504897,2483502668964,27529459
swap,4.7849286185513735,51814286577952,2481758385352,27529499
swap,4.787677546799277,51799416845872,2482471521224,27529583
swap,4.789872535893474,51787552718849,2483040805497,27529606
swap,4.792566976233816,51773000152801,2483739447376,27529622
swap,4.791793581220258,51777180152801,2483539134233,27529666
swap,4.7889983397713385,51792296152801,2482815017905,27529678
swap,4.784033376475785,51819178152801,2481528306552,27529696
swap,4.7819565619531454,51830435152801,2480989884763,27529712
swap,4.784208064753976,51818243821371,2481574174090,27529775
swap,4.787097160316873,51802612681262,2482323724359,27529781
swap,4.790571669979422,51783832949417,2483224855760,27529817
swap,4.792766295797824,51771981515663,2483793874624,27529840
swap,4.795976093755285,51754662590954,2484625871137,27529871
swap,4.7982545034039115,51742379651156,2485216278058,27529930
